# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TX
# 
  260,20150101,   47
  260,20150102,  101
  260,20150103,   59
  260,20150104,   80
  260,20150105,   38
  260,20150106,   58
  260,20150107,   72
  260,20150108,   82
  260,20150109,  137
  260,20150110,  133
  260,20150111,   82
  260,20150112,  102
  260,20150113,  110
  260,20150114,   60
  260,20150115,  103
  260,20150116,   83
  260,20150117,   59
  260,20150118,   33
  260,20150119,   16
  260,20150120,   37
  260,20150121,   15
  260,20150122,    4
  260,20150123,  -13
  260,20150124,   68
  260,20150125,   56
  260,20150126,   83
  260,20150127,   77
  260,20150128,   72
  260,20150129,   45
  260,20150130,   44
  260,20150131,   44
  260,20150201,   57
  260,20150202,   55
  260,20150203,   63
  260,20150204,   53
  260,20150205,   20
  260,20150206,   31
  260,20150207,   55
  260,20150208,   67
  260,20150209,   72
  260,20150210,   72
  260,20150211,   54
  260,20150212,   45
  260,20150213,   99
  260,20150214,  102
  260,20150215,   67
  260,20150216,   77
  260,20150217,   90
  260,20150218,   81
  260,20150219,   74
  260,20150220,   65
  260,20150221,   63
  260,20150222,   68
  260,20150223,   98
  260,20150224,   89
  260,20150225,   87
  260,20150226,   83
  260,20150227,   82
  260,20150228,   91
  260,20150301,  107
  260,20150302,   84
  260,20150303,   75
  260,20150304,   76
  260,20150305,  103
  260,20150306,   90
  260,20150307,  139
  260,20150308,  157
  260,20150309,  113
  260,20150310,  113
  260,20150311,   95
  260,20150312,  127
  260,20150313,   92
  260,20150314,   53
  260,20150315,   68
  260,20150316,  128
  260,20150317,  178
  260,20150318,   88
  260,20150319,  126
  260,20150320,   93
  260,20150321,   93
  260,20150322,   86
  260,20150323,   93
  260,20150324,  115
  260,20150325,   69
  260,20150326,   73
  260,20150327,   89
  260,20150328,  117
  260,20150329,  113
  260,20150330,   91
  260,20150331,  111
  260,20150401,   91
  260,20150402,   86
  260,20150403,   95
  260,20150404,   94
  260,20150405,  113
  260,20150406,  117
  260,20150407,  132
  260,20150408,  142
  260,20150409,  181
  260,20150410,  196
  260,20150411,  136
  260,20150412,  155
  260,20150413,  128
  260,20150414,  200
  260,20150415,  230
  260,20150416,  134
  260,20150417,  129
  260,20150418,  144
  260,20150419,  152
  260,20150420,  171
  260,20150421,  174
  260,20150422,  121
  260,20150423,  155
  260,20150424,  204
  260,20150425,  150
  260,20150426,  139
  260,20150427,  126
  260,20150428,  118
  260,20150429,  147
  260,20150430,  142
  260,20150501,  133
  260,20150502,  158
  260,20150503,  170
  260,20150504,  194
  260,20150505,  222
  260,20150506,  155
  260,20150507,  162
  260,20150508,  194
  260,20150509,  161
  260,20150510,  191
  260,20150511,  256
  260,20150512,  175
  260,20150513,  181
  260,20150514,  167
  260,20150515,  144
  260,20150516,  149
  260,20150517,  162
  260,20150518,  140
  260,20150519,  137
  260,20150520,  147
  260,20150521,  174
  260,20150522,  199
  260,20150523,  157
  260,20150524,  199
  260,20150525,  153
  260,20150526,  158
  260,20150527,  189
  260,20150528,  165
  260,20150529,  158
  260,20150530,  154
  260,20150531,  165
  260,20150601,  161
  260,20150602,  177
  260,20150603,  177
  260,20150604,  220
  260,20150605,  318
  260,20150606,  189
  260,20150607,  189
  260,20150608,  172
  260,20150609,  150
  260,20150610,  208
  260,20150611,  240
  260,20150612,  274
  260,20150613,  213
  260,20150614,  195
  260,20150615,  175
  260,20150616,  177
  260,20150617,  227
  260,20150618,  166
  260,20150619,  153
  260,20150620,  163
  260,20150621,  185
  260,20150622,  153
  260,20150623,  151
  260,20150624,  215
  260,20150625,  240
  260,20150626,  250
  260,20150627,  218
  260,20150628,  232
  260,20150629,  242
  260,20150630,  273
  260,20150701,  331
  260,20150702,  331
  260,20150703,  291
  260,20150704,  327
  260,20150705,  282
  260,20150706,  238
  260,20150707,  258
  260,20150708,  196
  260,20150709,  176
  260,20150710,  226
  260,20150711,  287
  260,20150712,  204
  260,20150713,  196
  260,20150714,  213
  260,20150715,  211
  260,20150716,  251
  260,20150717,  256
  260,20150718,  221
  260,20150719,  205
  260,20150720,  214
  260,20150721,  254
  260,20150722,  231
  260,20150723,  217
  260,20150724,  233
  260,20150725,  183
  260,20150726,  209
  260,20150727,  197
  260,20150728,  189
  260,20150729,  176
  260,20150730,  181
  260,20150731,  194
  260,20150801,  220
  260,20150802,  242
  260,20150803,  300
  260,20150804,  215
  260,20150805,  250
  260,20150806,  284
  260,20150807,  270
  260,20150808,  230
  260,20150809,  243
  260,20150810,  252
  260,20150811,  254
  260,20150812,  230
  260,20150813,  284
  260,20150814,  254
  260,20150815,  221
  260,20150816,  166
  260,20150817,  152
  260,20150818,  168
  260,20150819,  225
  260,20150820,  249
  260,20150821,  253
  260,20150822,  265
  260,20150823,  259
  260,20150824,  231
  260,20150825,  199
  260,20150826,  252
  260,20150827,  185
  260,20150828,  209
  260,20150829,  236
  260,20150830,  253
  260,20150831,  265
  260,20150901,  195
  260,20150902,  188
  260,20150903,  171
  260,20150904,  166
  260,20150905,  169
  260,20150906,  170
  260,20150907,  169
  260,20150908,  169
  260,20150909,  185
  260,20150910,  196
  260,20150911,  201
  260,20150912,  202
  260,20150913,  194
  260,20150914,  198
  260,20150915,  159
  260,20150916,  192
  260,20150917,  164
  260,20150918,  184
  260,20150919,  175
  260,20150920,  181
  260,20150921,  186
  260,20150922,  174
  260,20150923,  173
  260,20150924,  157
  260,20150925,  168
  260,20150926,  168
  260,20150927,  175
  260,20150928,  160
  260,20150929,  174
  260,20150930,  175
  260,20151001,  169
  260,20151002,  183
  260,20151003,  188
  260,20151004,  179
  260,20151005,  169
  260,20151006,  176
  260,20151007,  176
  260,20151008,  159
